ROS Time,Behaviour
17:56: 07,Spinning
17:56: 12,Spinning
17:56: 16,Spinning
17:56: 21,Spinning
17:57: 08,Pausing
17:57: 13,Pausing
17:57: 14,Spinning
17:57: 19,Spinning
17:57: 24,Spinning
17:57: 29,Spinning
17:57: 33,Spinning
17:57: 38,Spinning
17:57: 54,Spinning
17:57: 59,Spinning
17:58: 13,Pausing
17:58: 18,Pausing
17:59: 01,Pausing
17:59: 06,Pausing
18:00: 37,Pausing
18:00: 42,Pausing
18:00: 50,Pausing
18:00: 55,Pausing
18:01: 01,Spinning
18:01: 06,Spinning
18:01: 09,Pausing
18:01: 14,Pausing
18:01: 21,Spinning
18:01: 26,Spinning
18:01: 43,Spinning
18:01: 48,Spinning
18:01: 57,Spinning
18:02: 02,Spinning
18:02: 25,Spinning
18:02: 30,Spinning
18:02: 40,Pausing
18:02: 45,Pausing
18:03: 34,Spinning
18:03: 39,Spinning
18:03: 44,Pausing
18:03: 49,Pausing
18:04: 32,Spinning
18:04: 37,Spinning
18:04: 41,Spinning
18:04: 46,Spinning
18:04: 53,Pausing
18:04: 58,Pausing
18:05: 02,Spinning
18:05: 07,Spinning
18:05: 20,Spinning
18:05: 25,Spinning
18:05: 30,Spinning
18:05: 35,Spinning
18:05: 48,Spinning
18:05: 53,Spinning
18:06: 40,Spinning
18:06: 45,Spinning
18:06: 48,Pausing
18:06: 53,Pausing
18:07: 03,Pausing
18:07: 08,Pausing
18:07: 41,Pausing
18:07: 46,Pausing
18:07: 51,Pausing
18:07: 56,Pausing
18:08: 02,Spinning
18:08: 07,Spinning
