ID,Time,Timesince,ROS Time,Activity Level,Random No,Activity Mode
16,8.58,0,20:46: 28,45,19,1
4,22.08,13.5,20:46: 28,40,38,1
5,22.7,0.62,20:46: 42,40,64,2
6,77.71,55.01,20:46: 42,0,56,2
8,78.34,0.63,20:46: 42,0,91,2
0,78.46,0.12,20:46: 42,5,91,2
6,78.53,0.07,20:47: 37,5,91,2
4,78.84,0.31,20:47: 37,10,91,2
8,79.09,0.25,20:47: 38,15,91,2
9,80.46,1.37,20:47: 38,20,85,2
0,95.83,15.37,20:47: 38,15,84,2
7,97.96,2.13,20:47: 38,15,54,2
12,98.46,0.5,20:47: 38,10,77,1
7,98.71,0.25,20:47: 38,15,77,2
15,103.08,4.37,20:47: 38,20,13,2
17,115.21,12.13,20:47: 39,10,38,2
10,156.58,41.37,20:47: 39,0,80,2
1,172.46,15.88,20:47: 40,0,98,2
1,173.58,1.12,20:47: 40,0,48,2
2,205.21,31.63,20:47: 55,0,5,2
16,214.21,9.0,20:47: 57,0,93,2
4,227.46,13.25,20:47: 57,0,92,2
5,228.21,0.75,20:47: 58,0,72,2
0,231.33,3.12,20:47: 58,5,82,2
4,231.46,0.13,20:47: 58,5,82,2
5,231.52,0.06,20:47: 58,10,29,2
6,279.59,48.07,20:48: 03,0,13,2
8,279.84,0.25,20:48: 03,0,13,2
0,281.34,1.5,20:48: 15,5,63,2
7,296.34,15.0,20:48: 15,0,3,2
12,296.46,0.12,20:48: 56,0,3,2
7,297.21,0.75,20:48: 56,5,64,2
15,325.46,28.25,20:49: 12,0,69,2
17,348.46,23.0,20:49: 12,0,92,2
4,365.59,17.13,20:49: 13,0,80,2
10,366.09,0.5,20:49: 13,0,88,2
