ID,Time,Timesince,ROS Time,Behave Val,Random No,State
6,5.8,0,15:37: 48,50,29,1
2,6.93,1.13,15:37: 48,55,2,1
5,32.3,25.37,15:37: 50,60,83,2
9,37.17,4.87,15:37: 50,55,12,1
4,81.68,44.51,15:38: 15,60,59,1
0,82.43,0.75,15:38: 15,55,59,1
8,82.68,0.25,15:38: 20,55,59,1
4,83.05,0.37,15:38: 20,60,59,2
0,84.17,1.12,15:39: 04,65,59,2
9,100.8,16.63,15:39: 04,65,91,2
12,100.93,0.13,15:39: 05,60,91,2
3,101.43,0.5,15:39: 05,65,91,2
0,101.8,0.37,15:39: 05,70,91,1
3,101.85,0.05,15:39: 06,70,91,2
12,102.18,0.33,15:39: 06,75,91,1
17,119.8,17.62,15:39: 07,80,33,1
15,136.67,16.87,15:39: 23,75,79,2
10,174.05,37.38,15:39: 23,70,26,2
0,177.8,3.75,15:39: 24,65,37,1
10,177.92,0.12,15:39: 24,65,37,1
1,190.3,12.38,15:39: 24,70,96,1
2,247.55,57.25,15:39: 24,65,73,1
16,284.18,36.63,15:39: 24,60,34,1
5,299.68,15.5,15:39: 24,55,34,2
6,299.92,0.24,15:39: 24,50,34,2
5,299.96,0.04,15:39: 25,55,34,2
9,308.05,8.09,15:39: 25,60,10,2
15,362.8,54.75,15:39: 42,55,75,1
17,425.43,62.63,15:39: 42,50,78,1
4,435.05,9.62,15:39: 59,45,61,1
10,435.55,0.5,15:39: 59,40,61,1
1,448.3,12.75,15:40: 37,45,12,2
4,452.05,3.75,15:40: 37,40,6,2
6,453.67,1.62,15:40: 40,45,18,1
8,453.8,0.13,15:40: 41,50,18,2
2,519.8,66.0,15:40: 41,55,96,1
1,523.42,3.62,15:40: 53,50,53,1
16,542.3,18.88,15:40: 53,55,23,2
5,566.68,24.38,15:41: 50,50,52,1
6,567.42,0.74,15:41: 50,45,6,2
9,579.05,11.63,15:42: 27,50,32,2
15,671.3,92.25,15:42: 27,45,64,1
1,694.68,23.38,15:42: 42,40,23,2
16,705.67,10.99,15:42: 42,35,95,2
10,720.55,14.88,15:42: 43,30,89,2
4,721.8,1.25,15:42: 43,25,14,2
8,728.18,6.38,15:42: 43,30,95,2
