ROS Time,Behaviour
15:37: 50,Pausing
15:37: 55,Pausing
15:38: 19,Pausing
15:38: 24,Pausing
15:39: 04,Pausing
15:39: 09,Pausing
15:39: 25,Spinning
15:39: 30,Spinning
15:39: 42,Pausing
15:39: 47,Pausing
15:40: 04,Spinning
15:40: 09,Spinning
15:40: 37,Pausing
15:40: 42,Pausing
15:40: 56,Pausing
15:41: 01,Pausing
15:41: 56,Pausing
15:42: 01,Pausing
15:42: 27,Pausing
15:42: 32,Pausing
15:42: 42,Pausing
15:42: 47,Pausing
15:42: 51,Spinning
15:42: 56,Spinning
15:43: 48,Pausing
15:43: 53,Pausing
15:45: 00,Pausing
15:45: 05,Pausing
15:45: 11,Pausing
15:45: 16,Pausing
15:45: 16,Spinning
15:45: 21,Spinning
15:46: 27,Spinning
15:46: 32,Spinning
15:46: 45,Spinning
15:46: 50,Spinning
15:47: 10,Spinning
15:47: 15,Spinning
15:47: 22,Spinning
15:47: 27,Spinning
15:49: 10,Pausing
15:49: 15,Pausing
15:49: 17,Spinning
15:49: 22,Spinning
15:49: 34,Spinning
15:49: 39,Spinning
15:49: 43,Pausing
15:49: 48,Pausing
15:49: 55,Spinning
15:50: 00,Spinning
15:51: 56,Spinning
15:52: 01,Spinning
