ID,Time,Timesince,ROS Time,Activity Level,Random No,Activity Mode
15,8.83,0,20:18: 33,45,75,2
2,9.2,0.37,20:18: 33,50,75,2
4,35.82,26.62,20:18: 33,35,70,2
5,36.7,0.88,20:18: 33,35,67,2
6,82.08,45.38,20:19: 00,5,73,2
0,83.2,1.12,20:19: 00,5,48,2
6,83.24,0.04,20:19: 00,5,48,2
0,83.33,0.09,20:19: 00,10,48,2
8,83.58,0.25,20:19: 46,10,11,2
17,119.32,35.74,20:19: 46,0,38,2
7,119.37,0.05,20:19: 47,0,38,2
12,120.2,0.83,20:19: 47,5,66,2
17,120.24,0.04,20:19: 47,10,66,2
7,120.28,0.04,20:19: 47,15,66,2
12,120.58,0.3,20:19: 47,20,30,2
15,134.95,14.37,20:19: 47,15,67,2
0,169.45,34.5,20:20: 23,0,37,2
10,171.07,1.62,20:20: 23,0,98,2
1,190.83,19.76,20:20: 23,0,83,1
8,193.7,2.87,20:20: 23,0,70,2
2,215.2,21.5,20:20: 24,0,17,2
16,256.57,41.37,20:20: 24,0,77,2
4,281.95,25.38,20:20: 24,0,52,2
5,283.08,1.13,20:20: 24,0,70,2
4,283.2,0.12,20:20: 24,5,70,2
5,283.26,0.06,20:20: 24,10,70,2
6,340.95,57.69,20:20: 24,0,95,2
8,341.95,1.0,20:20: 24,0,25,2
9,349.32,7.37,20:20: 39,0,17,2
7,358.08,8.76,20:20: 39,0,76,2
12,358.2,0.12,20:21: 13,0,76,2
7,358.33,0.13,20:21: 15,5,76,2
0,359.7,1.37,20:21: 15,10,92,2
17,408.45,48.75,20:21: 35,0,32,2
10,417.33,8.88,20:21: 35,0,78,2
9,417.58,0.25,20:21: 37,0,78,2
