ID,Time,Timesince,ROS Time,Activity Level,Random No,Activity Mode
1,16.17,0,21:21: 13,40,25,1
2,16.8,0.63,21:21: 13,45,14,1
3,73.8,57.0,21:21: 14,5,72,0
4,74.42,0.62,21:21: 14,5,32,0
5,76.3,1.88,21:22: 11,10,19,0
6,90.92,14.62,21:22: 11,0,100,0
7,95.42,4.5,21:22: 11,0,60,0
8,95.68,0.26,21:22: 12,0,60,0
9,107.05,11.37,21:22: 13,0,97,0
10,115.8,8.75,21:22: 28,0,9,0
11,116.67,0.87,21:22: 28,0,66,0
12,118.92,2.25,21:22: 33,5,60,0
13,118.99,0.07,21:22: 33,5,60,0
14,119.17,0.18,21:22: 33,10,60,0
15,119.26,0.09,21:22: 33,15,60,0
16,139.67,20.41,21:22: 44,5,44,0
17,179.8,40.13,21:22: 53,0,53,0
18,180.8,1.0,21:22: 53,0,94,0
19,181.05,0.25,21:22: 54,5,94,0
20,199.92,18.87,21:22: 54,0,35,0
21,201.67,1.75,21:22: 56,0,61,0
22,257.67,56.0,21:22: 56,0,55,0
23,267.67,10.0,21:22: 56,0,93,0
24,280.05,12.38,21:22: 56,0,33,0
25,281.8,1.75,21:22: 56,0,5,0
26,281.92,0.12,21:22: 56,5,5,0
27,281.99,0.07,21:22: 56,10,5,0
28,333.43,51.44,21:22: 56,0,93,0
29,334.42,0.99,21:23: 17,0,56,0
30,352.17,17.75,21:23: 17,0,79,0
31,352.3,0.13,21:23: 57,0,79,0
32,352.55,0.25,21:23: 57,0,79,0
33,352.8,0.25,21:23: 58,5,71,0
34,358.79,5.99,21:23: 58,5,90,0
35,374.55,15.76,21:23: 58,0,69,0
36,374.67,0.12,21:23: 58,0,69,1
37,374.76,0.09,21:24: 17,5,38,0
38,374.83,0.07,21:24: 17,10,38,0
39,376.3,1.47,21:24: 19,15,61,0
40,377.04,0.74,21:24: 19,20,12,0
41,432.17,55.13,21:25: 15,0,53,0
42,432.8,0.63,21:25: 15,0,53,0
