ID,Time,Timesince,ROS Time,Activity Level,Random No,Activity Mode
2,8.63,0,20:25: 57,45,61,0
16,19.38,10.75,20:25: 58,45,6,1
4,60.38,41.0,20:26: 08,10,88,0
5,60.42,0.04,20:26: 08,10,88,0
6,113.25,52.83,20:26: 49,0,59,0
0,113.88,0.63,20:26: 49,0,97,0
6,114.13,0.25,20:26: 49,0,97,0
8,114.25,0.12,20:26: 49,5,97,0
7,134.01,19.76,20:27: 42,0,73,0
12,134.13,0.12,20:27: 42,0,73,0
14,134.51,0.38,20:27: 43,5,58,0
17,163.13,28.62,20:27: 43,0,63,0
15,174.13,11.0,20:27: 43,0,69,0
17,196.26,22.13,20:27: 43,0,30,0
0,204.63,8.37,20:27: 43,0,51,0
10,204.75,0.12,20:28: 03,0,51,0
4,206.38,1.63,20:28: 03,5,30,0
16,226.75,20.37,20:28: 03,0,76,0
1,227.25,0.5,20:28: 03,0,76,0
16,227.38,0.13,20:28: 03,5,76,0
2,274.13,46.75,20:28: 03,0,92,0
4,296.38,22.25,20:28: 32,0,87,0
5,297.25,0.87,20:28: 32,0,22,0
0,297.88,0.63,20:28: 43,5,80,0
4,298.0,0.12,20:28: 43,5,80,0
5,298.07,0.07,20:29: 05,10,80,0
0,298.13,0.06,20:29: 05,15,80,0
8,333.13,35.0,20:29: 13,0,28,0
6,353.75,20.62,20:29: 14,0,25,0
3,354.63,0.88,20:29: 14,0,25,0
6,354.69,0.06,20:29: 15,5,13,0
0,355.26,0.57,20:29: 15,10,13,0
8,355.76,0.5,20:29: 36,10,27,0
9,366.38,10.62,20:29: 36,10,33,0
7,377.38,11.0,20:29: 36,0,12,0
12,378.38,1.0,20:29: 36,0,74,0
7,378.63,0.25,20:29: 36,5,74,0
12,379.63,1.0,20:29: 36,10,98,0
6,386.76,7.13,20:30: 23,10,58,0
15,406.88,20.12,20:30: 23,0,73,0
5,407.4,0.52,20:30: 45,0,73,0
17,407.63,0.23,20:30: 45,5,73,0
7,408.01,0.38,20:30: 46,10,97,0
17,408.13,0.12,20:30: 46,15,97,0
0,408.51,0.38,20:30: 47,20,97,0
15,408.75,0.24,20:30: 47,20,97,0
10,456.0,47.25,20:30: 47,0,45,0
4,457.38,1.38,20:30: 47,0,56,0
10,457.63,0.25,20:30: 47,5,56,0
9,458.13,0.5,20:30: 47,10,18,0
8,472.13,14.0,20:31: 22,5,34,0
16,493.51,21.38,20:31: 22,0,86,0
1,496.13,2.62,20:31: 43,0,1,0
2,532.13,36.0,20:31: 43,0,97,0
15,532.38,0.25,20:31: 43,0,97,0
16,542.25,9.87,20:31: 43,0,100,1
4,554.88,12.63,20:31: 43,0,23,0
5,556.0,1.12,20:31: 43,0,27,0
0,558.5,2.5,20:31: 44,5,92,0
8,592.26,33.76,20:31: 45,0,43,0
0,608.63,16.37,20:31: 45,0,44,0
6,608.68,0.05,20:31: 55,0,44,0
8,608.88,0.2,20:31: 55,5,44,0
9,614.75,5.87,20:32: 06,10,5,0
7,637.88,23.13,20:32: 06,0,42,0
12,638.38,0.5,20:32: 07,0,94,0
7,638.5,0.12,20:32: 07,5,94,0
12,638.88,0.38,20:32: 07,10,94,0
15,642.62,3.74,20:32: 07,15,93,0
17,665.13,22.51,20:32: 08,0,57,0
16,665.38,0.25,20:32: 08,0,57,0
18,665.88,0.5,20:32: 16,5,57,0
7,666.03,0.15,20:32: 16,10,57,0
17,666.13,0.1,20:32: 36,15,84,0
15,679.25,13.12,20:32: 36,10,48,0
10,714.13,34.88,20:32: 36,0,24,0
1,715.26,1.13,20:32: 36,0,64,0
16,731.88,16.62,20:32: 36,0,45,0
1,732.38,0.5,20:32: 36,0,87,1
16,732.42,0.04,20:32: 37,5,87,0
4,797.5,65.08,20:32: 37,0,54,0
5,798.75,1.25,20:32: 37,0,90,1
15,802.38,3.63,20:32: 37,5,65,1
8,832.01,29.63,20:32: 37,0,70,1
6,848.01,16.0,20:32: 38,0,2,1
8,849.01,1.0,20:32: 38,0,35,0
9,852.38,3.37,20:33: 25,5,5,0
7,868.63,16.25,20:33: 25,0,88,0
0,868.75,0.12,20:33: 26,0,88,0
14,869.0,0.25,20:33: 26,0,88,0
7,869.5,0.5,20:33: 26,5,3,0
