ID,Time,Timesince,ROS Time,Activity Level,Random No,Activity Mode
4,31.86,0,22:26: 06,25,39,0
5,32.61,0.75,22:26: 06,30,57,0
16,44.98,12.37,22:26: 07,25,93,0
6,78.36,33.38,22:26: 07,0,64,0
0,78.74,0.38,22:26: 19,0,64,0
8,78.99,0.25,22:26: 19,0,64,0
6,79.11,0.12,22:26: 52,5,64,0
8,79.24,0.13,22:26: 52,10,64,0
9,79.86,0.62,22:26: 53,15,98,0
7,94.86,15.0,22:26: 53,10,13,0
12,95.61,0.75,22:26: 53,10,61,0
15,120.98,25.37,22:26: 53,0,68,0
15,121.61,0.63,22:26: 53,0,32,0
17,143.73,22.12,22:26: 53,0,82,0
10,150.99,7.26,22:26: 53,0,50,0
4,152.49,1.5,22:26: 54,0,35,0
1,167.61,15.12,22:26: 54,0,1,0
6,170.36,2.75,22:27: 09,0,64,0
1,170.48,0.12,22:27: 09,5,27,0
4,222.23,51.75,22:27: 10,0,54,0
5,223.24,1.01,22:27: 10,0,85,0
16,235.36,12.12,22:27: 35,0,68,0
6,268.61,33.25,22:27: 35,0,4,0
8,268.86,0.25,22:27: 36,0,4,0
6,269.36,0.5,22:27: 36,5,4,0
8,269.49,0.13,22:27: 58,10,4,0
7,286.36,16.87,22:27: 58,5,95,0
12,286.49,0.13,22:28: 05,5,95,0
14,295.99,9.5,22:28: 05,5,48,0
10,342.49,46.5,22:28: 06,0,59,0
9,343.74,1.25,22:28: 06,0,41,0
10,343.98,0.24,22:28: 22,5,41,0
1,359.61,15.63,22:28: 22,0,78,0
16,360.24,0.63,22:28: 24,0,21,0
6,361.74,1.5,22:28: 24,5,50,0
8,362.11,0.37,22:28: 24,10,83,0
