Time,Activity Mode,Probability Value,Activity Level
0.17,0,85,50
1.19,1,37,50
2.19,1,43,50
3.19,0,91,50
4.19,0,88,50
5.19,1,17,50
6.2,1,37,45
7.2,1,25,45
8.2,1,29,45
9.2,0,59,45
10.2,0,88,45
11.2,1,7,45
12.21,1,8,40
13.21,0,84,40
14.21,1,2,40
15.21,1,9,40
16.21,0,99,40
17.21,1,16,40
18.22,1,35,35
19.22,1,25,35
20.22,1,14,35
21.22,0,76,35
22.22,1,4,35
23.22,1,20,35
24.22,0,70,30
25.23,1,24,30
26.23,1,8,30
27.23,0,45,30
28.23,1,11,30
29.23,0,80,30
30.23,0,74,25
31.24,0,39,25
32.24,0,57,30
33.24,0,83,35
34.24,0,66,35
35.24,1,21,35
36.24,0,96,35
37.24,0,73,35
38.24,1,15,30
39.25,1,30,30
40.25,1,0,30
41.25,0,70,30
42.25,1,6,30
43.25,0,73,30
44.26,0,93,25
45.26,1,9,25
46.26,1,22,25
47.26,0,60,25
48.27,0,39,25
49.27,0,50,25
50.27,0,84,20
51.27,0,95,20
52.27,1,3,20
53.28,1,17,20
54.28,0,65,20
55.28,1,11,20
56.28,0,24,15
57.28,0,76,15
58.28,0,51,15
59.29,0,44,15
60.29,0,56,15
61.29,0,25,15
62.29,0,95,10
63.29,0,55,10
64.29,0,88,10
65.3,0,39,10
66.3,0,29,10
67.3,0,30,10
68.3,0,22,5
69.3,0,51,5
70.3,0,44,5
71.3,0,42,5
72.31,0,73,5
73.31,0,57,5
74.31,0,17,0
75.31,0,94,0
76.31,0,77,0
77.32,0,93,0
78.32,0,64,0
79.32,0,98,15
80.32,1,10,20
81.32,0,27,20
82.32,1,13,20
83.32,1,17,20
84.33,0,87,20
85.33,0,53,15
86.33,0,74,15
87.33,0,55,15
88.33,0,32,15
89.34,0,71,15
90.34,0,30,15
91.34,0,52,10
92.34,0,47,10
93.34,0,35,10
94.34,0,13,10
95.34,0,61,10
96.35,0,92,15
97.35,1,13,15
98.35,0,24,15
99.35,0,61,15
100.35,0,22,15
101.35,0,78,10
102.35,0,68,10
103.36,0,35,10
104.36,0,14,10
105.36,1,8,10
106.36,0,27,10
107.36,0,47,5
108.36,0,59,5
109.36,0,45,5
110.36,0,91,5
111.37,0,58,5
112.37,0,50,5
113.37,0,12,0
114.37,0,58,0
115.37,0,72,0
116.37,0,82,0
117.37,0,100,0
118.38,0,94,0
119.38,0,42,0
120.38,0,68,0
121.38,0,32,0
122.38,1,4,5
123.38,0,55,5
124.39,0,10,5
125.39,0,97,5
126.39,0,81,5
127.39,0,27,0
128.39,0,56,0
129.39,0,32,0
130.4,0,44,0
131.4,0,74,0
132.4,0,21,0
133.4,0,75,0
134.4,0,70,0
135.4,0,33,0
