ROS Time,Behaviour
22:57: 51,Spinning
22:57: 56,Spinning
22:58: 15,Pausing
22:58: 20,Pausing
22:58: 52,Spinning
22:58: 57,Spinning
22:59: 09,Pausing
22:59: 14,Pausing
22:59: 30,Spinning
22:59: 35,Spinning
22:59: 41,Pausing
22:59: 46,Pausing
22:59: 46,Spinning
22:59: 51,Spinning
23:00: 11,Pausing
23:00: 16,Pausing
23:00: 33,Pausing
23:00: 38,Pausing
23:01: 06,Spinning
23:01: 11,Spinning
23:01: 12,Pausing
23:01: 17,Pausing
23:01: 21,Spinning
23:01: 26,Spinning
23:02: 06,Spinning
23:02: 11,Spinning
23:03: 01,Spinning
23:03: 06,Spinning
23:04: 30,Spinning
23:04: 35,Spinning
23:05: 15,Spinning
23:05: 20,Spinning
23:05: 58,Pausing
23:06: 03,Pausing
23:07: 18,Pausing
23:07: 23,Pausing
