Time,Activity Mode,Probability Value,Activity Level
0.18,1,7,50
1.2,1,1,50
2.2,0,73,50
3.2,0,93,50
4.2,0,60,50
5.2,0,58,50
6.2,0,84,50
7.2,1,13,50
8.21,0,91,50
9.21,1,1,55
10.21,0,79,55
11.21,1,42,55
12.21,0,84,55
13.21,1,2,55
14.21,0,95,55
15.22,1,14,55
16.22,0,93,55
17.22,1,49,55
18.22,0,85,55
19.22,1,36,55
20.22,1,38,60
21.22,1,29,60
22.23,1,23,60
23.23,0,99,60
24.23,0,78,60
25.23,1,15,60
26.23,1,31,60
27.23,1,10,60
28.23,1,57,60
29.23,1,9,60
30.24,0,67,60
31.24,1,52,60
32.24,1,48,60
33.24,1,34,60
34.24,1,31,60
35.24,1,52,60
36.24,0,91,60
37.24,0,74,60
38.25,1,51,60
39.25,0,91,60
40.25,0,64,60
41.25,0,73,60
42.25,1,30,60
43.25,1,13,60
44.25,0,98,60
45.25,0,72,60
46.26,1,18,60
47.26,1,50,60
48.26,1,3,65
49.26,0,82,70
50.26,1,63,70
51.26,0,93,70
52.26,1,60,70
53.26,1,53,70
54.27,1,51,70
55.27,1,30,70
56.27,1,26,70
57.27,0,71,70
58.27,1,46,70
59.27,1,15,70
60.27,0,99,70
61.27,1,43,70
62.28,1,45,70
63.28,1,21,70
64.28,1,45,70
65.28,1,4,70
66.28,0,71,70
67.28,1,51,70
68.28,1,56,70
69.29,1,17,70
70.29,1,6,70
71.29,0,84,70
72.29,0,81,70
73.29,0,74,70
74.29,1,51,70
75.29,0,85,70
76.3,0,88,70
77.3,1,39,70
78.3,1,46,70
79.3,1,29,70
80.3,0,76,70
81.3,1,19,70
82.3,0,88,70
83.31,1,29,70
84.31,1,50,70
85.31,0,89,70
86.31,1,32,70
87.31,0,76,70
88.31,1,63,70
89.31,1,17,70
90.31,0,82,70
91.32,0,81,70
92.32,1,24,70
93.32,1,35,70
94.32,0,89,70
95.32,0,96,70
96.32,0,93,70
97.32,1,68,70
98.33,1,66,70
99.33,1,48,70
100.33,1,1,70
101.33,1,3,70
102.33,1,15,75
