ID,Time,Timesince,ROS Time,Behave Val,Random No,State
0,4.87,0,17:26: 15,50,70,2
5,38.5,33.63,17:26: 49,50,76,2
4,44.37,5.87,17:26: 49,45,65,2
3,82.37,38.0,17:26: 55,50,52,2
9,140.25,57.88,17:26: 55,45,69,2
8,147.75,7.5,17:27: 33,40,57,2
13,165.13,17.38,17:27: 33,35,68,1
12,178.13,13.0,17:28: 31,30,13,2
15,221.49,43.36,17:28: 31,25,89,2
17,243.0,21.51,17:28: 38,20,69,2
10,261.25,18.25,17:28: 38,15,95,2
16,293.37,32.12,17:28: 56,10,82,2
1,298.38,5.01,17:28: 56,5,19,2
6,341.25,42.87,17:29: 09,10,76,2
