Time,Activity Mode,Probability Value,Activity Level
0.18,1,43,50
1.19,1,41,50
2.19,0,83,50
3.2,1,32,50
4.2,1,32,50
5.2,0,73,50
6.2,1,29,50
7.2,0,80,50
8.2,1,39,50
9.2,0,91,50
10.21,1,5,45
11.21,1,36,50
12.21,0,84,50
13.21,1,22,50
14.21,1,45,50
15.21,0,64,50
16.21,0,79,50
17.22,1,25,50
18.22,1,14,50
19.22,0,54,50
20.22,0,100,45
21.22,1,3,45
22.22,0,78,45
23.23,0,69,45
24.23,0,76,45
25.23,0,86,45
26.23,0,64,45
27.23,1,11,45
28.23,1,23,45
29.23,1,10,45
30.24,1,17,40
31.24,1,6,40
32.24,1,22,40
33.24,1,26,40
34.24,1,15,40
35.24,0,100,40
36.24,0,68,40
37.25,0,54,40
38.25,1,12,40
39.25,1,14,40
40.25,1,3,35
41.25,0,76,35
42.25,0,55,35
43.25,0,96,35
44.26,1,26,35
45.26,0,86,35
46.26,0,39,35
47.26,0,60,35
48.26,0,85,35
49.26,0,78,35
50.26,1,6,30
51.27,1,18,30
52.27,1,3,30
53.27,1,18,30
54.27,0,58,30
55.27,0,89,30
56.27,0,35,30
57.27,1,14,30
58.28,0,47,30
59.28,0,53,30
60.28,0,38,25
61.28,1,12,25
62.28,0,72,25
63.28,0,94,25
64.28,0,97,25
65.29,0,81,25
66.29,1,5,25
67.29,1,25,25
68.29,1,21,25
69.29,0,65,25
70.29,0,50,20
71.29,1,15,20
72.3,0,40,20
73.3,1,2,20
74.3,0,93,20
75.3,0,55,20
76.3,1,6,20
77.3,0,30,20
78.3,0,70,20
79.31,0,77,20
80.31,0,53,15
81.31,0,36,15
82.31,0,76,15
83.31,0,98,15
84.31,0,31,15
85.31,0,79,15
86.32,0,28,15
87.32,0,66,15
88.32,0,53,15
89.32,1,4,15
90.32,0,15,10
91.32,0,88,10
92.32,0,58,10
93.32,0,30,10
94.33,0,19,10
95.33,0,48,10
96.33,0,92,10
97.33,0,16,10
98.33,0,64,10
99.33,0,73,10
100.33,0,92,5
101.34,0,77,5
102.34,0,24,5
103.34,0,71,5
104.34,0,16,5
105.34,1,1,5
106.34,0,87,5
107.35,0,43,5
108.35,0,79,5
109.35,0,72,5
110.35,0,24,0
111.35,0,100,0
112.35,0,98,0
113.36,0,55,0
114.36,0,93,0
115.36,0,25,0
116.36,0,44,0
117.36,0,42,0
118.36,0,88,0
119.36,0,38,0
120.37,0,34,0
121.37,0,32,0
122.37,0,90,0
123.37,0,86,0
124.37,0,38,0
125.37,0,88,0
126.38,0,60,0
127.38,0,32,0
128.38,0,78,0
129.38,0,17,0
130.38,0,56,0
131.39,0,91,0
132.39,0,49,0
133.39,0,82,0
134.39,0,89,0
135.39,0,3,0
136.4,0,56,10
137.4,0,77,15
138.4,0,59,15
139.4,0,98,15
140.4,0,53,15
141.4,0,99,15
142.4,0,65,15
143.41,0,64,15
144.41,0,89,15
145.41,0,80,15
146.41,0,39,10
147.41,0,80,10
148.42,0,41,10
149.42,0,95,10
150.42,0,83,10
151.42,0,77,10
152.42,0,57,10
153.42,0,74,10
154.42,0,94,10
155.43,0,58,15
156.43,0,89,20
157.43,0,82,20
158.43,0,74,20
159.43,0,75,20
160.43,0,78,20
161.44,0,70,20
162.44,0,76,20
163.44,0,52,20
164.44,1,0,20
165.44,0,20,15
166.44,0,27,15
167.44,1,10,15
168.45,0,56,15
169.45,0,51,15
170.45,0,39,15
171.45,1,13,15
172.45,0,93,15
173.46,0,66,15
174.46,0,78,15
175.46,0,25,10
176.46,0,78,10
177.46,0,99,10
178.46,0,100,10
179.47,0,100,10
180.47,1,1,10
181.47,0,35,10
182.47,0,93,10
183.47,0,64,10
184.47,0,18,10
185.48,0,59,5
186.48,0,93,5
187.48,0,92,5
188.48,0,28,5
189.48,0,59,5
190.48,0,51,5
191.49,0,47,5
192.49,0,97,5
193.49,0,21,5
194.49,0,60,5
195.49,0,41,0
196.49,0,72,0
197.49,0,89,0
198.5,0,55,0
199.5,0,27,0
200.5,0,90,0
201.5,0,32,0
202.5,0,96,0
203.5,0,29,0
204.5,0,21,0
205.51,0,66,0
206.51,0,28,0
207.51,0,22,0
208.51,0,99,0
209.51,0,16,0
210.51,0,78,0
211.52,0,47,0
212.52,0,27,0
213.52,0,91,0
214.52,0,64,0
215.52,0,63,0
216.52,0,2,0
217.53,0,41,0
218.53,0,67,0
219.53,0,65,0
220.53,0,83,0
221.53,0,35,0
222.53,0,66,0
223.53,0,43,0
224.54,0,68,0
225.54,0,10,0
226.54,0,91,0
227.54,0,66,0
228.54,1,0,0
229.54,0,66,0
230.54,0,92,0
231.55,0,51,0
232.55,0,25,0
233.55,0,63,0
234.55,0,75,0
235.55,0,79,0
236.55,0,50,0
237.56,0,81,0
238.56,0,74,0
239.56,0,59,0
240.56,0,6,0
241.56,0,63,0
242.56,0,89,0
243.56,0,75,0
244.57,0,51,0
