ID,Time,Timesince,ROS Time,Activity Level,Random No,Activity Mode
16,5.2,0,23:20: 23,50,30,0
4,20.08,14.88,23:20: 23,50,72,0
5,21.33,1.25,23:20: 38,50,77,0
15,30.08,8.75,23:20: 38,55,41,1
8,67.58,37.5,23:20: 39,35,97,0
6,88.46,20.88,23:20: 39,25,18,1
8,88.83,0.37,23:20: 48,25,18,1
6,88.86,0.03,23:20: 48,30,18,1
9,92.33,3.47,23:21: 25,35,42,0
4,93.71,1.38,23:21: 25,40,86,0
7,126.2,32.49,23:21: 46,30,80,0
1,134.33,8.13,23:21: 46,25,25,1
3,136.33,2.0,23:21: 46,25,31,0
7,156.7,20.37,23:21: 46,20,95,0
12,156.83,0.13,23:21: 46,20,95,0
17,156.87,0.04,23:21: 46,25,95,0
15,185.83,28.96,23:21: 50,20,87,0
10,223.33,37.5,23:21: 50,0,51,0
9,224.33,1.0,23:21: 51,0,59,0
10,224.45,0.12,23:21: 51,5,59,0
16,244.83,20.38,23:22: 24,0,100,0
1,248.45,3.62,23:22: 24,0,71,0
2,293.7,45.25,23:22: 32,0,66,0
4,320.45,26.75,23:22: 32,0,87,0
15,320.95,0.5,23:22: 34,0,73,0
4,321.09,0.14,23:22: 34,5,73,0
5,321.33,0.24,23:22: 54,10,73,0
0,325.95,4.62,23:22: 54,15,52,0
16,338.21,12.26,23:22: 54,10,82,0
9,374.83,36.62,23:22: 54,0,37,0
6,374.96,0.13,23:22: 54,0,37,0
8,376.83,1.87,23:22: 54,5,63,0
12,396.45,19.62,23:23: 23,5,17,0
7,397.08,0.63,23:23: 23,0,58,0
15,430.83,33.75,23:24: 01,0,14,0
10,462.95,32.12,23:24: 01,0,59,0
