ID,Time,Timesince,ROS Time,Activity Level,Random No,Activity Mode
0,8.31,0,00:32: 55,50,20,1
2,8.64,0.33,00:32: 55,50,20,1
1,8.89,0.25,00:32: 55,55,20,1
3,19.77,10.88,00:32: 56,55,13,1
4,63.39,43.62,00:32: 56,35,5,0
5,73.27,9.88,00:33: 07,30,90,1
4,73.64,0.37,00:33: 07,30,23,1
5,73.68,0.04,00:33: 50,35,23,0
15,80.64,6.96,00:33: 50,40,75,0
6,129.15,48.51,00:34: 00,15,20,0
0,129.9,0.75,00:34: 00,15,59,0
7,130.27,0.37,00:34: 00,15,59,1
6,130.32,0.05,00:34: 00,20,59,1
4,130.4,0.08,00:34: 00,25,7,1
0,130.44,0.04,00:34: 00,30,7,0
7,130.52,0.08,00:34: 07,30,7,0
5,130.55,0.03,00:34: 07,35,7,0
9,142.39,11.84,00:34: 56,35,64,0
4,142.51,0.12,00:34: 56,35,75,0
9,142.55,0.04,00:34: 57,40,75,0
6,142.89,0.34,00:34: 57,45,75,1
7,153.27,10.38,00:34: 57,45,46,0
1,170.27,17.0,00:34: 57,40,96,0
3,171.01,0.74,00:34: 57,40,34,0
0,176.77,5.76,00:34: 57,45,91,0
1,178.02,1.25,00:34: 57,45,47,0
2,178.27,0.25,00:34: 57,50,47,0
4,290.89,112.62,00:34: 57,0,26,0
5,291.51,0.62,00:34: 57,0,26,0
6,335.39,43.88,00:34: 57,0,59,0
7,335.77,0.38,00:34: 57,0,93,1
0,336.65,0.88,00:35: 09,5,93,0
6,337.02,0.37,00:35: 09,5,26,0
4,337.39,0.37,00:35: 09,10,26,0
5,337.89,0.5,00:35: 09,15,100,0
9,349.51,11.62,00:35: 09,15,2,1
7,349.76,0.25,00:35: 09,15,84,0
4,349.79,0.03,00:35: 10,20,84,1
5,349.83,0.04,00:35: 10,25,84,0
