ID,Time,Timesince,ROS Time,Activity Level,Random No,Activity Mode
8,49.56,0,07:31: 56,0,32,0
15,77.19,27.63,07:31: 56,0,3,0
5,111.19,34.0,07:32: 24,0,97,0
7,113.94,2.75,07:32: 24,0,12,0
0,114.94,1.0,07:32: 58,0,27,0
14,116.07,1.13,07:32: 58,0,98,0
5,116.11,0.04,07:33: 00,0,98,0
7,116.19,0.08,07:33: 00,0,98,0
0,123.57,7.38,07:33: 01,0,91,0
4,123.69,0.12,07:33: 02,0,91,0
6,124.19,0.5,07:33: 02,0,91,0
8,166.69,42.5,07:33: 02,0,1,0
7,234.57,67.88,07:33: 02,0,76,0
5,234.69,0.12,07:33: 03,0,84,0
0,235.44,0.75,07:33: 03,0,84,0
3,237.44,2.0,07:33: 10,0,20,0
6,245.56,8.12,07:33: 10,0,66,0
4,246.19,0.63,07:33: 10,0,89,0
6,246.44,0.25,07:33: 11,0,89,0
8,295.19,48.75,07:33: 11,0,63,0
15,296.06,0.87,07:33: 53,0,51,0
7,360.32,64.26,07:33: 53,0,80,0
5,360.36,0.04,07:35: 01,0,80,1
0,360.82,0.46,07:35: 01,0,29,1
5,361.45,0.63,07:35: 01,0,29,0
7,361.95,0.5,07:35: 01,0,24,0
0,371.44,9.49,07:35: 02,0,12,0
6,371.82,0.38,07:35: 04,0,0,0
4,371.94,0.12,07:35: 04,0,0,0
8,420.19,48.25,07:35: 12,0,83,0
5,483.44,63.25,07:35: 12,0,65,0
7,485.32,1.88,07:35: 13,0,33,0
16,485.44,0.12,07:35: 13,0,33,0
0,486.06,0.62,07:35: 13,0,58,0
3,487.19,1.13,07:35: 13,0,17,0
6,496.45,9.26,07:36: 02,0,80,1
4,496.69,0.24,07:36: 02,0,80,1
6,496.94,0.25,07:36: 02,0,80,1
8,544.69,47.75,07:36: 02,0,97,1
11,545.31,0.62,07:37: 07,0,70,0
5,609.81,64.5,07:37: 07,0,78,0
9,612.2,2.39,07:37: 07,0,0,0
16,612.23,0.03,07:37: 07,0,0,0
