ROS Time,Behaviour
06:20: 39,Spinning
06:20: 44,Spinning
06:20: 51,Spinning
06:20: 56,Spinning
06:22: 18,Spinning
06:22: 23,Spinning
06:22: 33,Pausing
06:22: 38,Pausing
06:22: 46,Pausing
06:22: 51,Pausing
06:22: 52,Pausing
06:22: 57,Pausing
06:24: 14,Spinning
06:24: 19,Spinning
06:24: 48,Pausing
06:24: 53,Pausing
06:25: 50,Pausing
06:25: 55,Pausing
06:26: 58,Spinning
06:27: 03,Spinning
06:27: 10,Spinning
06:27: 15,Spinning
06:27: 25,Spinning
06:27: 30,Spinning
06:27: 40,Spinning
06:27: 45,Spinning
06:29: 48,Pausing
06:29: 53,Pausing
06:32: 25,Pausing
06:32: 30,Pausing
06:32: 38,Pausing
06:32: 43,Pausing
