ID,Time,Timesince,ROS Time,Activity Level,Random No,Activity Mode
8,43.08,0,09:08: 19,15,32,0
15,74.21,31.13,09:08: 19,0,17,0
14,74.33,0.12,09:08: 51,0,82,0
5,111.71,37.38,09:08: 51,0,5,0
7,113.96,2.25,09:08: 51,0,40,0
9,114.59,0.63,09:08: 51,0,30,0
5,114.62,0.03,09:09: 28,5,30,0
7,114.71,0.09,09:09: 28,10,30,0
4,115.34,0.63,09:09: 30,15,30,0
0,129.83,14.49,09:09: 30,10,23,0
6,130.09,0.26,09:09: 31,10,23,0
8,184.7,54.61,09:09: 31,0,73,0
15,216.09,31.39,09:09: 31,0,63,0
5,259.58,43.49,09:09: 31,0,37,0
7,260.58,1.0,09:09: 31,0,65,0
0,261.46,0.88,09:09: 31,5,65,0
4,277.21,15.75,09:09: 32,0,81,0
6,277.33,0.12,09:09: 32,0,81,1
4,277.38,0.05,09:09: 46,5,81,0
0,277.46,0.08,09:09: 46,10,81,0
6,277.59,0.13,09:09: 46,10,81,0
5,399.71,122.12,09:10: 41,0,84,0
7,400.08,0.37,09:10: 41,0,56,0
16,400.71,0.63,09:11: 12,5,56,0
5,401.34,0.63,09:11: 12,10,13,1
14,401.46,0.12,09:11: 56,15,13,1
4,402.58,1.12,09:11: 56,20,34,0
7,402.96,0.38,09:11: 57,25,23,0
3,404.33,1.37,09:11: 57,30,22,0
0,406.96,2.63,09:11: 58,35,84,0
7,407.08,0.12,09:12: 14,35,84,0
5,407.12,0.04,09:12: 14,40,84,0
0,425.59,18.47,09:12: 14,30,88,0
4,425.83,0.24,09:12: 14,30,91,0
6,425.96,0.13,09:12: 14,35,91,0
15,500.95,74.99,09:12: 14,0,24,0
4,551.71,50.76,09:12: 14,0,34,0
0,551.84,0.13,09:12: 14,0,34,0
7,552.21,0.37,09:12: 14,0,100,0
5,552.46,0.25,09:14: 16,5,100,0
8,553.84,1.38,09:14: 16,10,39,0
6,609.83,55.99,09:14: 16,0,95,0
8,610.08,0.25,09:14: 16,0,95,1
6,610.58,0.5,09:14: 17,5,85,1
7,689.09,78.51,09:14: 17,0,98,0
5,689.84,0.75,09:14: 18,0,86,0
16,689.96,0.12,09:14: 18,5,86,0
4,691.08,1.12,09:14: 18,10,83,0
16,691.21,0.13,09:14: 18,15,0,0
