ID,Time,Timesince,ROS Time,Activity Level,Random No,Activity Mode
15,47.22,0,01:37: 53,30,75,0
8,47.84,0.62,01:37: 53,35,95,0
0,59.72,11.88,01:37: 54,35,38,0
5,127.36,67.64,01:37: 54,0,91,0
7,128.23,0.87,01:38: 05,0,5,0
4,128.48,0.25,01:39: 13,5,47,0
5,128.6,0.12,01:39: 13,10,47,0
3,128.85,0.25,01:39: 14,15,47,0
7,129.36,0.51,01:39: 14,20,47,0
4,142.22,12.86,01:39: 14,20,31,1
0,157.35,15.13,01:39: 14,15,37,0
6,157.85,0.5,01:39: 14,15,12,0
0,161.1,3.25,01:39: 14,20,69,0
6,161.22,0.12,01:39: 15,20,69,0
8,210.34,49.12,01:39: 15,5,94,0
15,238.84,28.5,01:39: 15,0,81,0
5,269.85,31.01,01:39: 15,0,58,0
7,272.73,2.88,01:39: 28,0,84,0
16,272.85,0.12,01:39: 28,5,84,0
5,272.98,0.13,01:39: 43,10,84,0
7,273.22,0.24,01:39: 44,15,84,0
0,273.6,0.38,01:39: 44,20,42,0
12,274.73,1.13,01:39: 47,20,68,0
6,293.6,18.87,01:39: 47,20,25,0
0,293.64,0.04,01:39: 47,20,6,0
5,300.73,7.09,01:40: 36,15,42,0
7,301.1,0.37,01:40: 36,15,42,0
8,356.34,55.24,01:41: 05,0,43,0
6,435.6,79.26,01:41: 05,0,30,0
4,436.1,0.5,01:41: 36,0,54,0
6,436.35,0.25,01:41: 36,5,54,0
8,482.97,46.62,01:41: 38,0,62,0
5,547.23,64.26,01:41: 38,0,50,0
16,548.72,1.49,01:41: 39,0,44,0
0,549.85,1.13,01:41: 39,5,80,0
7,562.1,12.25,01:41: 39,0,57,0
5,562.22,0.12,01:41: 39,0,57,0
7,562.35,0.13,01:41: 39,5,57,0
0,578.85,16.5,01:41: 39,5,44,0
4,579.22,0.37,01:41: 39,5,7,0
