ID,Time,Timesince,ROS Time,Activity Level,Random No,Activity Mode
12,20.16,0,14:41: 46,50,51,1
0,20.28,0.12,14:41: 46,55,51,2
17,34.53,14.25,14:41: 46,55,45,2
15,50.9,16.37,14:42: 00,55,16,2
4,84.28,33.38,14:42: 00,55,12,2
10,84.65,0.37,14:42: 17,55,17,1
0,86.78,2.13,14:42: 17,60,96,2
10,87.03,0.25,14:42: 50,60,96,1
12,92.15,5.12,14:42: 50,65,6,2
1,111.53,19.38,14:42: 50,65,69,2
5,152.91,41.38,14:42: 50,65,35,1
2,153.53,0.62,14:42: 53,65,34,2
16,173.03,19.5,14:42: 53,70,91,2
12,262.03,89.0,14:42: 53,70,8,2
15,287.28,25.25,14:42: 58,70,56,2
17,319.41,32.13,14:42: 58,70,18,2
10,337.41,18.0,14:43: 17,70,46,2
4,338.29,0.88,14:43: 17,70,37,2
