ROS Time,Behaviour
17:49: 24,Spinning
17:49: 29,Spinning
17:50: 31,Spinning
17:50: 36,Spinning
17:50: 53,Spinning
17:50: 58,Spinning
17:51: 08,Spinning
17:51: 13,Spinning
17:51: 40,Pausing
17:51: 45,Pausing
17:51: 47,Pausing
17:51: 52,Pausing
17:51: 54,Pausing
17:51: 59,Pausing
17:52: 14,Spinning
17:52: 19,Spinning
17:53: 19,Spinning
17:53: 24,Spinning
17:53: 26,Pausing
17:53: 31,Pausing
17:53: 43,Pausing
17:53: 48,Pausing
17:53: 50,Spinning
17:53: 55,Spinning
17:54: 51,Spinning
17:54: 56,Spinning
17:57: 37,Spinning
17:57: 42,Spinning
17:57: 48,Spinning
17:57: 53,Spinning
17:57: 58,Pausing
17:58: 03,Pausing
17:58: 13,Pausing
17:58: 18,Pausing
17:58: 33,Pausing
17:58: 38,Pausing
17:59: 13,Spinning
17:59: 18,Spinning
17:59: 21,Pausing
17:59: 26,Pausing
18:02: 23,Spinning
18:02: 28,Spinning
18:02: 29,Spinning
18:02: 34,Spinning
18:02: 36,Spinning
18:02: 41,Spinning
18:02: 51,Spinning
18:02: 56,Spinning
18:03: 04,Pausing
18:03: 09,Pausing
18:03: 11,Spinning
18:03: 16,Spinning
18:03: 38,Pausing
18:03: 43,Pausing
18:04: 37,Spinning
18:04: 42,Spinning
18:04: 56,Pausing
18:05: 01,Pausing
18:05: 34,Spinning
18:05: 39,Spinning
