ROS Time,Behaviour
00:09: 53,Spinning
00:09: 58,Spinning
00:10: 22,Pausing
00:10: 27,Pausing
00:11: 15,Spinning
00:11: 20,Spinning
00:11: 32,Pausing
00:11: 37,Pausing
00:11: 39,Spinning
00:11: 44,Spinning
00:12: 05,Spinning
00:12: 10,Spinning
00:12: 42,Pausing
00:12: 47,Pausing
00:13: 18,Spinning
00:13: 23,Spinning
00:13: 32,Pausing
00:13: 37,Pausing
00:13: 41,Pausing
00:13: 46,Pausing
00:14: 45,Pausing
00:14: 50,Pausing
00:15: 03,Spinning
00:15: 08,Spinning
00:15: 12,Pausing
00:15: 17,Pausing
00:15: 42,Spinning
00:15: 47,Spinning
00:16: 08,Spinning
00:16: 13,Spinning
00:16: 23,Pausing
00:16: 28,Pausing
00:16: 46,Pausing
00:16: 51,Pausing
00:17: 17,Spinning
00:17: 22,Spinning
00:18: 20,Pausing
00:18: 25,Pausing
00:18: 25,Spinning
00:18: 30,Spinning
