ID,Time,Timesince,ROS Time,Activity Level,Random No,Activity Mode
4,17.39,0,23:52: 16,45,89,0
5,18.39,1.0,23:52: 16,50,56,0
0,18.64,0.25,23:52: 17,55,56,1
16,36.26,17.62,23:52: 17,50,26,0
8,60.27,24.01,23:52: 17,35,16,0
6,79.27,19.0,23:52: 35,25,29,1
8,79.89,0.62,23:52: 35,25,22,1
6,79.93,0.04,23:52: 59,30,22,1
4,80.14,0.21,23:52: 59,35,22,0
0,83.27,3.13,23:53: 18,40,13,0
12,100.02,16.75,23:53: 18,30,54,1
7,100.06,0.04,23:53: 19,30,54,1
0,100.76,0.7,23:53: 19,35,17,1
7,100.89,0.13,23:53: 19,35,17,1
3,101.02,0.13,23:53: 19,40,17,1
4,106.77,5.75,23:53: 19,45,28,1
6,107.01,0.24,23:53: 19,50,28,0
8,107.27,0.26,23:53: 22,55,28,0
6,107.3,0.03,23:53: 39,60,28,0
14,112.64,5.34,23:53: 39,65,68,1
12,112.89,0.25,23:53: 39,70,68,1
7,113.14,0.25,23:53: 39,75,68,0
0,115.26,2.12,23:53: 39,80,16,0
15,138.64,23.38,23:53: 40,70,15,0
15,140.64,2.0,23:53: 40,70,49,0
10,175.77,35.13,23:53: 40,60,69,0
12,183.14,7.37,23:53: 40,55,86,0
7,183.18,0.04,23:53: 45,55,86,0
17,185.14,1.96,23:53: 45,60,70,1
8,195.9,10.76,23:53: 46,60,63,1
10,196.02,0.12,23:53: 46,60,63,1
8,196.14,0.12,23:53: 46,65,63,0
1,204.14,8.0,23:53: 46,70,66,0
4,204.26,0.12,23:53: 46,70,66,0
16,218.01,13.75,23:53: 46,70,58,1
5,285.39,67.38,23:53: 51,35,91,0
