ROS Time,Behaviour
15:07: 07,Spinning
15:07: 12,Spinning
15:07: 27,Pausing
15:07: 32,Pausing
15:07: 43,Spinning
15:07: 48,Spinning
15:07: 54,Spinning
15:07: 59,Spinning
15:08: 47,Pausing
15:08: 52,Pausing
15:09: 07,Spinning
15:09: 12,Spinning
15:09: 21,Pausing
15:09: 26,Pausing
15:09: 36,Pausing
15:09: 41,Pausing
15:10: 10,Pausing
15:10: 15,Pausing
15:10: 23,Pausing
15:10: 28,Pausing
15:11: 20,Spinning
15:11: 25,Spinning
15:11: 38,Spinning
15:11: 43,Spinning
15:12: 26,Spinning
15:12: 31,Spinning
15:12: 48,Spinning
15:12: 53,Spinning
15:13: 15,Spinning
15:13: 20,Spinning
15:13: 45,Spinning
15:13: 50,Spinning
15:14: 01,Pausing
15:14: 06,Pausing
15:14: 12,Pausing
15:14: 17,Pausing
15:14: 25,Pausing
15:14: 30,Pausing
15:14: 42,Spinning
15:14: 47,Spinning
