ID,Time,Timesince,ROS Time,Activity Level,Random No,Activity Mode
16,17.61,0,20:38: 44,40,47,2
4,30.99,13.38,20:38: 44,35,25,1
5,31.61,0.62,20:38: 58,35,81,2
15,35.49,3.88,20:38: 58,40,92,2
6,77.62,42.13,20:38: 58,5,62,2
8,79.61,1.99,20:38: 58,0,9,2
6,79.65,0.04,20:39: 02,5,9,2
8,79.86,0.21,20:39: 02,10,9,2
9,86.24,6.38,20:39: 44,10,94,2
0,94.61,8.37,20:39: 44,5,66,2
7,95.24,0.63,20:39: 46,5,66,2
12,95.49,0.25,20:39: 46,10,16,2
7,95.53,0.04,20:39: 46,15,16,2
12,95.74,0.21,20:39: 46,20,16,2
0,95.99,0.25,20:39: 47,25,16,2
15,134.49,38.5,20:39: 47,0,8,2
17,141.49,7.0,20:39: 53,0,27,2
10,150.62,9.13,20:39: 53,0,68,2
1,168.11,17.49,20:40: 01,0,89,2
2,200.61,32.5,20:40: 02,0,3,2
16,210.61,10.0,20:40: 02,0,41,2
4,222.87,12.26,20:40: 02,0,64,2
5,224.61,1.74,20:40: 02,0,57,2
6,271.12,46.51,20:40: 02,0,15,2
0,271.87,0.75,20:40: 02,0,43,2
6,271.91,0.04,20:40: 03,0,43,2
8,272.37,0.46,20:40: 03,5,43,2
4,272.49,0.12,20:40: 03,10,43,2
7,288.61,16.12,20:40: 41,5,13,2
12,288.99,0.38,20:40: 41,5,13,2
7,289.74,0.75,20:40: 48,10,76,2
12,289.87,0.13,20:40: 48,15,76,2
14,299.24,9.37,20:40: 57,15,62,2
15,314.86,15.62,20:40: 57,0,4,2
10,346.11,31.25,20:41: 15,0,58,2
