ID,Time,Timesince,ROS Time,Activity Level,Random No,Activity Mode
4,34.64,0,21:14: 48,35,78,0
5,35.64,1.0,21:14: 48,40,58,0
0,36.39,0.75,21:14: 49,45,6,0
6,83.4,47.01,21:14: 49,25,56,0
7,84.02,0.62,21:14: 50,25,56,0
9,99.39,15.37,21:15: 37,25,47,0
4,99.52,0.13,21:15: 37,25,47,0
6,99.56,0.04,21:15: 37,30,47,0
2,114.14,14.58,21:15: 37,30,50,0
0,114.64,0.5,21:15: 53,30,95,0
3,115.4,0.76,21:15: 53,30,44,0
1,115.77,0.37,21:15: 53,35,44,0
2,115.82,0.05,21:15: 53,40,44,0
3,115.87,0.05,21:15: 53,45,44,0
0,115.91,0.04,21:15: 53,50,44,0
1,116.02,0.11,21:16: 08,50,44,0
4,235.14,119.12,21:16: 08,0,25,0
5,236.02,0.88,21:16: 08,0,27,0
4,236.14,0.12,21:16: 09,5,27,0
5,236.27,0.13,21:16: 09,10,27,0
0,236.52,0.25,21:16: 09,15,31,0
7,290.52,54.0,21:16: 09,0,15,0
6,291.27,0.75,21:16: 09,0,31,0
9,304.52,13.25,21:16: 09,0,65,0
9,304.77,0.25,21:16: 09,0,66,0
6,305.64,0.87,21:16: 09,5,44,0
4,305.77,0.13,21:16: 09,10,44,0
7,306.27,0.5,21:16: 09,15,44,0
5,308.27,2.0,21:16: 09,20,97,0
2,322.4,14.13,21:18: 09,20,91,0
