ROS Time,Behaviour
17:16: 32,Pausing
17:16: 37,Pausing
17:17: 09,Spinning
17:17: 14,Spinning
17:17: 31,Spinning
17:17: 36,Spinning
17:17: 43,Spinning
17:17: 48,Spinning
17:17: 52,Spinning
17:17: 57,Spinning
17:18: 06,Spinning
17:18: 11,Spinning
17:18: 15,Spinning
17:18: 20,Spinning
17:18: 26,Spinning
17:18: 31,Spinning
17:18: 46,Pausing
17:18: 51,Pausing
17:19: 44,Pausing
17:19: 49,Pausing
17:19: 57,Spinning
17:20: 02,Spinning
17:22: 03,Pausing
17:22: 08,Pausing
17:22: 43,Spinning
17:22: 48,Spinning
17:22: 52,Pausing
17:22: 57,Pausing
17:23: 19,Pausing
17:23: 24,Pausing
17:23: 25,Spinning
17:23: 30,Spinning
17:23: 38,Spinning
17:23: 43,Spinning
17:23: 49,Pausing
17:23: 54,Pausing
17:24: 05,Pausing
17:24: 10,Pausing
17:24: 10,Spinning
17:24: 15,Spinning
17:25: 12,Pausing
17:25: 17,Pausing
17:25: 28,Pausing
17:25: 33,Pausing
17:25: 53,Spinning
17:25: 58,Spinning
