ROS Time,Behaviour
00:53: 42,Spinning
00:53: 47,Spinning
00:54: 05,Spinning
00:54: 10,Spinning
00:54: 53,Pausing
00:54: 58,Pausing
00:55: 13,Spinning
00:55: 18,Spinning
00:55: 30,Spinning
00:55: 35,Spinning
00:55: 50,Pausing
00:55: 55,Pausing
00:56: 42,Spinning
00:56: 47,Spinning
00:56: 50,Spinning
00:56: 55,Spinning
00:57: 04,Pausing
00:57: 09,Pausing
00:57: 10,Pausing
00:57: 15,Pausing
00:57: 20,Spinning
00:57: 25,Spinning
00:58: 32,Pausing
00:58: 37,Pausing
00:58: 38,Spinning
00:58: 43,Spinning
00:58: 50,Pausing
00:58: 55,Pausing
00:59: 15,Pausing
00:59: 20,Pausing
00:59: 32,Pausing
00:59: 37,Pausing
00:59: 37,Spinning
00:59: 42,Spinning
01:00: 05,Spinning
01:00: 10,Spinning
01:00: 15,Spinning
01:00: 20,Spinning
01:00: 21,Spinning
01:00: 26,Spinning
01:00: 44,Spinning
01:00: 49,Spinning
01:01: 03,Pausing
01:01: 08,Pausing
01:01: 41,Pausing
01:01: 46,Pausing
01:02: 01,Spinning
01:02: 06,Spinning
01:02: 07,Spinning
01:02: 12,Spinning
01:02: 13,Pausing
01:02: 18,Pausing
01:02: 49,Pausing
01:02: 54,Pausing
