ROS Time,Behaviour
20:26: 08,Spinning
20:26: 13,Spinning
20:26: 51,Pausing
20:26: 56,Pausing
20:27: 44,Pausing
20:27: 49,Pausing
20:28: 13,Spinning
20:28: 18,Spinning
20:29: 16,Pausing
20:29: 21,Pausing
20:30: 13,Spinning
20:30: 18,Spinning
20:30: 54,Pausing
20:30: 59,Pausing
20:31: 31,Pausing
20:31: 36,Pausing
20:31: 48,Pausing
20:31: 54,Pausing
20:31: 56,Pausing
20:32: 01,Pausing
20:32: 09,Spinning
20:32: 14,Spinning
20:32: 21,Pausing
20:32: 26,Pausing
20:32: 39,Pausing
20:32: 44,Pausing
20:33: 38,Spinning
20:33: 43,Spinning
20:34: 15,Pausing
20:34: 20,Pausing
20:35: 04,Pausing
20:35: 09,Pausing
20:36: 03,Spinning
20:36: 08,Spinning
20:36: 30,Spinning
20:36: 35,Spinning
20:36: 57,Pausing
20:37: 02,Pausing
20:38: 12,Pausing
20:38: 17,Pausing
20:40: 01,Pausing
20:40: 06,Pausing
20:40: 18,Pausing
20:40: 23,Pausing
20:41: 44,Pausing
20:41: 49,Pausing
