ID,Time,Timesince,ROS Time,Activity Level,Random No,Activity Mode
16,5.91,0,22:33: 10,50,35,1
4,17.91,12.0,22:33: 10,45,62,0
5,18.79,0.88,22:33: 22,45,93,0
6,65.92,47.13,22:33: 22,15,75,0
8,66.04,0.12,22:33: 23,15,75,0
12,81.67,15.63,22:33: 23,10,97,0
7,82.66,0.99,22:34: 10,10,78,0
12,82.79,0.13,22:34: 10,15,78,0
17,96.66,13.87,22:34: 10,10,99,0
15,107.53,10.87,22:34: 11,0,6,0
16,129.28,21.75,22:34: 26,0,21,0
10,138.41,9.13,22:34: 26,0,48,0
1,156.03,17.62,22:34: 27,0,37,0
4,210.66,54.63,22:34: 27,0,72,0
5,211.04,0.38,22:34: 27,0,72,0
16,224.42,13.38,22:34: 27,0,50,0
6,258.04,33.62,22:34: 41,0,71,0
8,258.79,0.75,22:34: 41,0,5,0
6,258.83,0.04,22:34: 52,5,5,0
8,259.04,0.21,22:34: 52,10,5,0
0,259.41,0.37,22:35: 14,15,5,0
12,276.17,16.76,22:35: 14,5,56,0
14,276.21,0.04,22:35: 23,5,56,0
4,276.41,0.2,22:35: 23,10,56,0
12,276.54,0.13,22:35: 40,15,56,0
7,276.66,0.12,22:35: 40,20,68,0
14,286.29,9.63,22:36: 35,20,40,0
15,301.91,15.62,22:36: 35,5,7,0
17,325.29,23.38,22:36: 35,0,9,0
10,333.29,8.0,22:36: 36,0,18,0
