ID,Time,Timesince,Min Velocity,Max Velocity
0,119.91,0,0.10000000149011612,0.25
96,163.29,43.38,0.10000000149011612,0.25
6,163.41,0.12,0.10000000149011612,0.25
4,189.03,25.62,0.10000000149011612,0.25
255,218.66,29.63,0.10000000149011612,0.25
12,233.28,14.62,0.10000000149011612,0.25
11,238.41,5.13,0.10000000149011612,0.25
13,271.4,32.99,0.10000000149011612,0.25
14,272.41,1.01,0.10000000149011612,0.25
45,332.78,60.37,0.10000000149011612,0.25
8,343.78,11.0,0.10000000149011612,0.25
5,346.03,2.25,0.10000000149011612,0.25
15,371.91,25.88,0.10000000149011612,0.25
1,410.41,38.5,0.10000000149011612,0.25
