ID,Time,Timesince,Min Velocity,Max Velocity,State
2,199.22,0,0,0,0
128,214.35,15.13,0,0,0
3,223.72,9.37,0,0,0
5,231.1,7.38,0,0,0
6,233.23,2.13,0,0,0
4,241.73,8.5,0,0,0
8,262.6,20.87,0,0,0
255,265.48,2.88,0,0,0
9,265.6,0.12,0,0,0
13,285.84,20.24,0,0,0
14,303.98,18.14,0,0,0
76,305.6,1.62,0,0,0
12,306.23,0.63,0,0,0
153,328.47,22.24,0,0,0
15,329.59,1.12,0,0,0
102,340.34,10.75,0,0,0
16,346.47,6.13,0,0,0
10,360.97,14.5,0,0,0
1,371.85,10.88,0,0,0
80,373.09,1.24,0,0,0
0,388.48,15.39,0,0,0
