Time,Activity Mode,Probability Value,Activity Level
0.18,1,49,50
1.19,0,91,50
2.19,1,35,50
3.19,0,65,50
4.19,1,26,50
5.19,1,50,50
6.19,0,68,45
7.2,1,14,45
8.2,0,88,45
9.2,0,73,50
10.2,0,91,50
11.2,1,2,50
12.2,1,26,50
13.2,1,23,50
14.21,0,82,45
15.21,1,6,45
16.21,0,94,45
17.21,0,78,45
18.21,0,53,45
19.21,1,28,45
20.21,1,18,40
21.22,1,36,40
22.22,1,28,40
23.22,0,66,40
24.22,1,17,40
25.22,1,40,40
26.22,1,5,35
27.22,1,31,35
28.22,0,54,35
29.23,0,82,35
30.23,0,67,35
31.23,1,13,35
32.23,1,1,30
33.23,0,39,30
34.23,1,32,35
35.23,1,29,35
36.23,0,44,35
37.24,0,38,35
38.24,0,43,35
39.24,0,99,30
40.24,0,31,30
41.24,0,32,30
42.24,0,61,30
43.25,0,49,30
44.25,0,62,30
45.25,0,80,25
46.25,0,59,25
47.25,0,91,25
48.25,1,23,25
49.25,0,92,25
50.25,0,55,25
51.26,0,56,20
52.26,1,20,20
53.26,0,82,20
54.26,0,33,20
55.26,1,14,20
56.26,0,25,20
57.27,0,45,15
58.27,0,65,15
59.27,0,61,15
60.27,0,94,15
61.27,0,16,15
62.27,0,66,15
63.27,0,95,10
64.28,0,64,10
65.28,0,90,10
66.28,0,94,10
67.28,0,44,10
68.28,0,32,10
69.28,0,73,5
70.28,0,12,5
71.28,0,51,5
72.29,0,54,5
73.29,0,36,5
74.29,0,6,5
75.29,0,16,0
76.29,0,51,0
77.29,0,33,0
78.29,0,67,0
79.29,0,47,15
80.29,0,21,15
81.3,0,84,15
82.3,0,61,15
83.3,1,5,15
84.3,0,47,10
85.3,0,42,10
86.3,0,79,10
87.3,0,100,10
88.31,0,95,10
89.31,0,44,10
90.31,1,4,5
91.31,0,51,5
92.31,0,61,5
93.31,0,19,5
94.31,0,82,5
95.32,1,10,10
96.32,0,36,10
97.32,0,46,10
98.32,0,45,10
99.32,0,20,10
100.32,0,52,5
101.32,0,10,5
102.32,0,22,5
103.33,0,42,5
104.33,0,78,5
105.33,0,55,5
106.33,0,95,0
107.33,0,89,0
108.33,0,47,0
109.33,0,29,0
110.34,0,77,0
111.34,0,4,0
112.34,0,4,0
113.34,0,55,0
114.34,0,45,0
115.34,0,48,0
116.34,0,21,0
117.34,0,12,0
118.35,0,95,0
119.35,0,81,0
120.35,0,78,0
121.35,0,4,0
122.35,0,38,0
123.35,0,22,0
124.35,0,60,0
125.35,0,66,0
126.35,0,61,0
127.36,0,39,0
128.36,1,0,0
129.36,0,41,0
130.36,0,38,0
131.36,0,34,0
132.36,0,55,0
133.36,0,4,0
134.37,0,53,0
135.37,0,43,0
136.37,0,35,0
137.37,0,89,0
138.37,0,7,0
139.37,0,89,0
140.37,0,86,0
141.38,0,54,0
142.38,0,17,0
143.38,0,59,0
144.38,0,75,0
145.38,0,36,0
146.38,0,55,0
147.38,0,88,0
148.39,0,48,0
149.39,0,48,0
150.39,0,9,0
151.39,0,99,0
152.39,0,46,0
153.39,0,93,0
154.39,0,38,0
155.4,0,52,0
156.4,0,90,0
157.4,0,33,0
158.4,0,96,0
159.4,0,31,0
160.4,0,24,0
161.4,0,37,0
162.4,0,12,0
163.41,0,29,0
164.41,0,65,0
165.41,0,100,0
166.41,0,1,0
167.41,0,66,0
168.41,1,0,0
169.41,0,31,0
170.42,0,44,0
171.42,0,7,0
172.42,0,87,0
173.42,0,100,0
174.42,0,9,0
175.42,0,86,0
176.42,0,96,0
177.42,0,44,0
178.43,0,20,0
179.43,0,46,0
180.43,0,62,0
181.43,0,95,0
182.43,1,0,0
183.43,0,99,0
184.43,0,37,0
185.44,0,67,0
186.44,0,37,0
187.44,0,100,0
188.44,0,54,0
189.44,0,12,0
190.44,0,36,0
191.45,0,23,0
192.45,0,37,0
193.45,0,49,0
194.45,0,51,0
195.45,0,51,0
196.45,0,11,0
197.45,0,25,0
198.45,0,88,0
199.46,0,76,0
200.46,0,12,0
201.46,0,56,0
202.46,0,91,0
203.46,0,48,0
204.46,0,25,0
205.46,0,6,0
206.46,0,11,0
207.47,0,73,0
208.47,0,65,0
209.47,0,78,0
210.47,0,52,0
211.47,0,33,0
212.47,0,93,0
213.47,0,52,0
214.48,0,72,0
215.48,0,92,0
216.48,0,13,0
217.48,0,18,10
218.48,1,14,15
219.48,0,27,15
220.48,0,73,15
221.48,0,63,15
222.49,0,76,15
223.49,0,23,10
224.49,0,58,10
225.49,0,90,10
226.49,0,95,10
227.49,0,87,10
228.5,0,44,10
229.5,0,45,5
230.5,0,100,5
231.5,0,96,5
232.5,0,70,5
233.5,0,69,5
234.5,0,78,5
235.51,0,18,0
236.51,0,77,0
237.51,0,96,0
238.51,0,42,0
239.51,0,62,0
240.51,0,73,0
241.51,0,100,0
242.51,0,85,0
243.52,1,0,0
244.52,0,2,0
245.52,0,62,0
246.52,0,44,0
247.52,0,27,0
248.52,0,6,0
249.53,0,33,0
250.53,0,23,0
251.53,0,8,0
252.53,0,79,0
253.53,0,46,0
254.53,0,40,0
255.53,0,89,0
256.54,0,36,0
257.54,0,1,0
258.54,0,14,0
259.54,0,43,0
260.54,0,87,0
261.54,0,15,0
262.55,0,45,5
263.55,0,17,5
264.55,0,33,5
265.55,0,54,5
266.55,0,67,5
267.55,0,78,5
268.55,0,26,0
269.55,0,13,0
270.56,0,64,0
271.56,0,46,0
272.56,0,2,0
273.56,0,3,0
274.56,0,76,0
275.56,0,68,0
276.56,0,70,0
277.57,0,8,0
278.57,0,52,0
