ID,Time,Timesince,ROS Time,Activity Level,Random No,Activity Mode
8,41.96,0,00:48: 40,30,5,1
2,42.59,0.63,00:48: 40,35,72,0
5,113.47,70.88,00:48: 40,5,82,0
7,113.72,0.25,00:48: 40,5,82,0
4,114.35,0.63,00:49: 51,10,82,0
3,115.22,0.87,00:49: 51,15,21,0
7,115.35,0.13,00:49: 51,20,21,0
5,115.4,0.05,00:49: 51,25,95,0
3,115.48,0.08,00:49: 52,30,95,0
0,116.35,0.87,00:49: 52,35,95,0
8,167.84,51.49,00:49: 53,10,62,0
15,168.21,0.37,00:49: 53,10,62,0
8,168.34,0.13,00:49: 53,15,62,0
14,175.71,7.37,00:49: 53,20,53,0
15,175.84,0.13,00:49: 53,20,53,0
7,255.98,80.14,00:49: 53,0,78,0
5,256.47,0.49,00:49: 53,0,78,0
6,309.6,53.13,00:49: 53,0,64,0
4,309.64,0.04,00:49: 54,0,64,0
6,309.72,0.08,00:50: 45,5,42,0
8,360.09,50.37,00:50: 45,0,87,0
5,421.47,61.38,00:50: 46,0,96,0
0,422.34,0.87,00:50: 46,0,9,0
7,423.35,1.01,00:50: 46,0,1,0
