ID,Time,Timesince,ROS Time,Activity Level,Random No,Activity Mode
3,19.37,0,03:24: 41,45,20,1
0,29.37,10.0,03:24: 41,45,86,1
1,50.37,21.0,03:24: 51,35,14,0
6,54.49,4.12,03:25: 12,35,85,0
4,58.24,3.75,03:25: 12,40,59,1
8,58.99,0.75,03:25: 16,45,5,1
1,59.11,0.12,03:25: 16,50,5,1
8,62.11,3.0,03:25: 20,55,2,1
2,94.36,32.25,03:25: 20,45,18,0
9,107.12,12.76,03:25: 21,40,76,0
0,147.25,40.13,03:25: 21,20,71,0
3,161.99,14.74,03:25: 21,10,44,0
2,165.62,3.63,03:25: 21,10,90,0
1,177.39,11.77,03:25: 24,10,92,0
3,235.37,57.98,03:25: 24,0,12,0
8,346.12,110.75,03:25: 56,0,84,0
6,346.99,0.87,03:25: 56,0,6,0
0,392.49,45.5,03:26: 09,0,23,0
