ID,Time,Timesince,ROS Time,Activity Level,Random No,Activity Mode
8,45.27,0,03:25: 09,30,65,0
5,113.99,68.72,03:25: 09,5,79,0
7,114.49,0.5,03:26: 17,5,24,0
16,114.74,0.25,03:26: 17,10,24,0
0,137.24,22.5,03:26: 18,5,44,0
6,137.37,0.13,03:26: 18,5,44,0
0,137.42,0.05,03:26: 18,10,44,0
6,137.62,0.2,03:26: 18,10,81,0
4,137.66,0.04,03:26: 41,15,81,0
5,145.11,7.45,03:26: 41,20,21,0
7,145.49,0.38,03:26: 41,20,47,0
8,199.61,54.12,03:26: 41,0,75,0
11,200.11,0.5,03:26: 41,0,75,0
8,200.36,0.25,03:26: 41,5,75,0
15,235.24,34.88,03:26: 41,0,83,0
4,289.37,54.13,03:26: 41,0,41,0
3,290.86,1.49,03:26: 48,0,84,0
7,290.99,0.13,03:26: 48,5,84,0
5,291.03,0.04,03:26: 49,10,84,0
7,291.12,0.09,03:26: 49,15,84,1
4,297.11,5.99,03:27: 43,20,65,0
6,297.99,0.88,03:27: 43,25,21,0
15,365.61,67.62,03:27: 43,0,88,0
16,446.87,81.26,03:27: 43,0,23,0
5,447.49,0.62,03:27: 44,0,6,0
14,447.62,0.13,03:27: 44,5,6,0
7,448.49,0.87,03:28: 19,10,93,1
4,448.87,0.38,03:28: 19,15,93,0
0,453.99,5.12,03:29: 13,20,76,0
6,466.74,12.75,03:29: 13,15,0,0
0,466.86,0.12,03:29: 14,15,0,0
6,467.24,0.38,03:29: 14,15,71,0
4,467.74,0.5,03:29: 14,20,71,0
14,592.11,124.37,03:29: 14,0,70,0
7,592.37,0.26,03:29: 14,0,34,0
5,592.49,0.12,03:29: 14,5,34,0
4,592.62,0.13,03:29: 14,10,34,0
7,592.86,0.24,03:29: 14,15,34,0
5,592.9,0.04,03:29: 20,20,34,0
